Industry,Startup_Age,Funding_Amount,Number_of_Founders,Founder_Experience,Employees_Count,Revenue,Burn_Rate,Market_Size,Business_Model,Product_Uniqueness_Score,Customer_Retention_Rate,Marketing_Expense,failed
3,4.0,14131778.0,4.0,4.0,341.0,41922318.26681083,500000.0,2,1,3.0,32.00773653123513,45204378.16358204,0.0
7,4.0,32644882.0,2.0,28.0,809.0,75681257.19240475,500000.0,0,2,9.0,30.0,63067011.89649755,1.0
4,8.0,9512686.0,3.0,7.0,614.0,45647573.71209996,36764205.206002176,1,0,2.0,76.10944879588507,9873501.383031836,0.0
6,1.0,28026790.0,2.0,8.0,203.0,56009553.69431751,65270308.79689794,2,1,7.0,59.552083340713445,14152076.155413993,0.0
6,5.0,39310929.0,2.0,4.0,647.0,59182118.181149416,128439124.73451805,1,0,7.0,48.48640430488459,30253955.395117357,0.0
6,8.0,32892991.0,1.0,4.0,339.0,91884296.10284849,15908915.635917049,1,1,1.0,78.92167109567114,8755255.96962727,0.0
6,4.0,35716928.0,4.0,10.0,399.0,29016921.21214833,48550278.96832669,2,1,2.0,50.31429977218849,15651479.905213416,0.0
7,3.0,17950121.0,2.0,23.0,902.0,41847768.425337926,29982817.25430455,0,1,1.0,35.70454451320292,500000.0,1.0
3,2.0,25657106.0,1.0,2.0,341.0,43265994.46904556,500000.0,2,2,7.0,65.31983816856501,50386363.389146924,1.0
0,9.0,44351616.0,3.0,1.0,11.0,93488617.6943498,500000.0,0,0,4.0,30.0,500000.0,1.0
5,12.0,46705796.0,4.0,21.0,468.0,63472824.67569109,103077335.64036304,2,2,8.0,48.295650494876575,500000.0,1.0
6,4.0,8763412.0,1.0,11.0,415.0,92063676.2153249,500000.0,0,0,3.0,48.90598198977551,3235540.175736841,0.0
6,4.0,12628824.0,4.0,4.0,255.0,68296494.42540674,25234685.178125795,1,0,4.0,72.5820559752328,1924990.3433000906,0.0
5,11.0,16766326.0,3.0,3.0,241.0,112419439.05135249,7709693.007041305,1,0,2.0,44.30025338313944,6550495.331752721,1.0
1,13.0,26206815.0,4.0,23.0,309.0,33117042.414084684,17189958.654573753,0,1,4.0,66.18733213016587,27731272.461136185,1.0
7,1.0,39387539.0,1.0,4.0,599.0,26025583.1228256,500000.0,1,1,4.0,92.1144772381456,3157394.3234521574,0.0
7,9.0,11149436.0,2.0,3.0,551.0,2769686.22082542,150857229.5521108,1,1,2.0,42.95743868884934,72872371.74570516,0.0
6,8.0,33468095.0,2.0,5.0,308.0,34421900.287524484,500000.0,1,0,5.0,47.78697765697513,24661541.637953658,0.0
3,9.0,36044928.0,2.0,8.0,452.0,64858862.14270755,76125090.81122127,2,0,7.0,75.68443957189588,500000.0,0.0
2,3.0,33550306.0,3.0,7.0,250.0,60251589.56133721,500000.0,0,1,5.0,72.41955036887154,65991381.322441295,1.0
5,2.0,10484629.0,3.0,15.0,306.0,12456515.1323787,500000.0,0,1,6.0,89.16063432894447,13187446.475298686,1.0
7,13.0,18837223.0,3.0,15.0,96.0,25781031.262073822,10632983.710290067,1,1,6.0,30.0,500000.0,1.0
2,14.0,18169478.0,4.0,20.0,521.0,31547747.92864289,500000.0,1,2,6.0,88.24181241659106,7567434.020297086,1.0
4,1.0,26860758.0,4.0,5.0,627.0,4461166.196744387,31018386.237411313,2,1,6.0,72.80160644504686,38661058.42608002,0.0
3,7.0,30603896.0,2.0,4.0,747.0,13137154.644205345,154554895.40152586,2,1,4.0,60.65858528824359,14736977.363203384,0.0
6,2.0,15010312.0,2.0,2.0,86.0,90232226.47292994,85971149.87757222,0,1,3.0,65.717165864649,7548886.309138587,0.0
7,0.0,9671322.0,2.0,12.0,312.0,82461059.53022641,500000.0,2,2,7.0,82.45637910761533,26222193.921700463,1.0
4,6.0,9181494.0,4.0,1.0,760.0,10631610.459398476,60421079.85713884,2,1,2.0,87.9317332128299,40508085.81518264,0.0
3,1.0,30968674.0,2.0,8.0,563.0,3887226.08545157,500000.0,0,1,7.0,61.4708324712604,500000.0,0.0
3,9.0,4501174.0,2.0,8.0,532.0,26444409.160434872,42854296.52065164,2,0,4.0,62.49338209777012,11047615.814855227,0.0
7,9.0,26614605.0,3.0,7.0,390.0,9846307.966056416,42720559.642717026,1,1,7.0,73.42860357283925,9225514.693722645,0.0
3,1.0,36252022.0,2.0,2.0,382.0,24486173.51354248,500000.0,1,0,4.0,39.31671132379216,21436909.942633577,0.0
5,2.0,14037407.0,4.0,14.0,394.0,51515633.5528411,151846857.1315573,1,1,4.0,44.88457029089402,75600963.10051446,1.0
3,8.0,19369426.0,4.0,9.0,116.0,38174087.19563093,48756413.8586947,1,0,5.0,54.02658152969772,15735034.820889996,0.0
3,13.0,46388264.0,4.0,24.0,233.0,79568453.11033167,500000.0,1,1,5.0,72.33423299792913,23643595.499267533,1.0
6,3.0,15403194.0,1.0,11.0,274.0,64566482.80029624,500000.0,1,0,3.0,75.22217886434225,35558353.83772204,0.0
6,6.0,22849453.0,1.0,10.0,627.0,44079291.41798591,45867497.238953866,1,1,7.0,28.69831130007161,10099134.032289356,0.0
0,5.0,3734992.0,2.0,23.0,424.0,87502373.7115121,49184258.12388923,2,1,1.0,93.19712347272107,24305205.62365181,1.0
6,9.0,23893788.0,2.0,1.0,850.0,10325330.708428048,500000.0,0,0,6.0,30.0,16710550.544618508,1.0
