Startup_Name,Industry,Startup_Age,Funding_Amount,Number_of_Founders,Founder_Experience,Employees_Count,Revenue,Burn_Rate,Market_Size,Business_Model,Product_Uniqueness_Score,Customer_Retention_Rate,Marketing_Expense,Startup_Status
Startup_F_0,Finance,9,39286801,2,2,182,84842078.61565241,31674555.675491545,Medium,B2B,2,49.81979928975812,8957972.140711237,0
Startup_F_1,Logistics,9,4764993,3,8,202,66271601.05699414,37016288.39036256,Medium,B2B,7,86.4823365949465,6639709.485540409,0
Startup_F_2,Tech,4,18087179,1,1,524,91353478.43988378,22519137.922686078,Small,B2B,4,72.46279539545961,18500552.56583088,0
Startup_F_3,Finance,3,18960709,2,9,799,62583283.903619505,32857793.89750687,Large,B2C,2,62.36170897743071,16099955.825166535,0
Startup_F_4,Finance,1,16576682,4,9,577,42069566.02492308,32269133.65744396,Medium,B2B,1,70.39433403173669,16627376.292558862,0
Startup_F_5,Logistics,2,27589095,2,8,795,4839549.854916073,44097097.077310644,Medium,B2B,4,57.93699224570349,18826363.0953939,0
Startup_F_6,Tech,8,39172651,3,11,418,64832490.55242628,24787851.876791723,Large,B2C,6,35.03237655248599,7569803.784717419,0
Startup_F_7,Tech,1,15516602,4,5,697,62626975.159886144,19610396.847136743,Medium,B2C,1,77.969739041703,21435601.43104943,0
Startup_F_8,Finance,8,27873053,1,5,637,49872757.369720094,26161718.69374838,Small,B2C,6,63.58136118023201,8279706.831981934,0
Startup_F_9,Health,7,28906760,4,3,93,53528297.78452634,44523049.222091936,Medium,B2C,6,72.17923748708358,16398936.643402057,0
Startup_F_10,Finance,8,36106158,4,5,680,88669379.47845688,35370658.149384856,Medium,B2B,5,35.23789296980564,22179298.465402756,0
Startup_F_11,Finance,6,14426433,3,4,89,42539339.68427523,26971440.113508705,Small,B2B,1,69.47261649133272,14657549.478170836,0
Startup_F_12,Finance,9,11895584,2,1,587,66420025.86878754,2003333.83242553,Small,B2B,7,77.50027472459483,15265766.15739658,0
Startup_F_13,Finance,3,32848137,1,9,218,26654086.32723709,39058069.098872006,Small,B2C,6,78.49226518045194,9957789.587412003,0
Startup_F_14,Logistics,4,37454635,4,10,531,68773098.14305358,12205083.503046611,Large,B2B,5,74.48528363933869,20379354.10105152,0
