Startup_Name,Industry,Startup_Age,Funding_Amount,Number_of_Founders,Founder_Experience,Employees_Count,Revenue,Burn_Rate,Market_Size,Business_Model,Product_Uniqueness_Score,Customer_Retention_Rate,Marketing_Expense,Startup_Status
Startup_F_3025,Finance,4.0,14131778.0,4.0,4.0,341.0,41922318.26681083,43627099.64254223,Small,B2C,3.0,32.00773653123513,17361204.808020897,0.0
Startup_4632,Tech,4.0,32644882.0,2.0,28.0,809.0,75681257.19240475,1298008.131926958,Large,Hybrid,9.0,30.0,1208422.8189033566,1.0
Startup_F_2580,Health,8.0,9512686.0,3.0,7.0,614.0,45647573.71209996,29122479.90307818,Medium,B2B,2.0,76.10944879588507,8660421.10217286,0.0
Startup_F_299,Logistics,1.0,28026790.0,2.0,8.0,203.0,56009553.69431751,9128387.487960083,Small,B2C,7.0,59.552083340713445,12719298.908216609,0.0
Startup_F_1746,Logistics,5.0,39310929.0,2.0,4.0,647.0,59182118.181149416,32073869.061744366,Medium,B2B,7.0,48.48640430488459,9073650.159128677,0.0
Startup_F_267,Logistics,8.0,32892991.0,1.0,4.0,339.0,91884296.10284849,21801942.17243358,Medium,B2C,1.0,78.92167109567114,28575017.36842238,0.0
Startup_F_2392,Logistics,4.0,35716928.0,4.0,10.0,399.0,29016921.21214833,18822589.01099491,Small,B2C,2.0,50.31429977218849,27911395.657979865,0.0
Startup_3338,Tech,3.0,17950121.0,2.0,23.0,902.0,41847768.425337926,1591597.7079981524,Large,B2C,1.0,35.70454451320292,500000.0,1.0
Startup_519,Finance,2.0,25657106.0,1.0,2.0,341.0,43265994.46904556,1204148.2853516971,Small,Hybrid,7.0,65.31983816856501,839672.1006690054,1.0
Startup_4837,AI/ML,9.0,44351616.0,3.0,1.0,11.0,93488617.69434981,500000.0,Large,B2B,4.0,30.0,500000.0,1.0
Startup_1035,Healthcare,12.0,46705796.0,4.0,21.0,468.0,63472824.67569109,2186170.196392181,Small,Hybrid,8.0,48.295650494876575,2121553.5221119993,1.0
Startup_F_3242,Logistics,4.0,8763412.0,1.0,11.0,415.0,92063676.2153249,19153616.447682373,Large,B2B,3.0,48.905981989775505,9437078.277357465,0.0
Startup_F_927,Logistics,4.0,12628824.0,4.0,4.0,255.0,68296494.42540674,7721303.83152506,Medium,B2B,4.0,72.5820559752328,3364978.40461557,0.0
Startup_1319,Healthcare,11.0,16766326.0,3.0,3.0,241.0,112419439.05135249,500000.0,Medium,B2B,2.0,44.300253383139435,500000.0,1.0
Startup_2378,E-commerce,13.0,26206815.0,4.0,23.0,309.0,33117042.414084684,1634747.1561866505,Large,B2C,4.0,66.18733213016587,500000.0,1.0
Startup_F_3711,Tech,1.0,39387539.0,1.0,4.0,599.0,26025583.1228256,43000544.607745744,Medium,B2C,4.0,92.11447723814561,3368000.449307689,0.0
Startup_F_2607,Tech,9.0,11149436.0,2.0,3.0,551.0,2769686.2208254198,36572351.236627445,Medium,B2C,2.0,42.95743868884934,11519732.111113852,0.0
Startup_F_739,Logistics,8.0,33468095.0,2.0,5.0,308.0,34421900.287524484,5679679.378253359,Medium,B2B,5.0,47.78697765697513,26241921.748425093,0.0
Startup_F_3793,Finance,9.0,36044928.0,2.0,8.0,452.0,64858862.14270755,4607201.911298665,Small,B2B,7.0,75.68443957189588,11196755.123398425,0.0
Startup_3919,Education,3.0,33550306.0,3.0,7.0,250.0,60251589.56133721,500000.0,Large,B2C,5.0,72.41955036887154,500000.0,1.0
Startup_2604,Healthcare,2.0,10484629.0,3.0,15.0,306.0,12456515.1323787,500000.0,Large,B2C,6.0,89.16063432894447,969108.7730458027,1.0
Startup_1356,Tech,13.0,18837223.0,3.0,15.0,96.0,25781031.262073826,500000.0,Medium,B2C,6.0,30.0,1713983.4374124329,1.0
Startup_4557,Education,14.0,18169478.0,4.0,20.0,521.0,31547747.928642895,2772783.407122118,Medium,Hybrid,6.0,88.24181241659106,1053483.1796021122,1.0
Startup_F_1390,Health,1.0,26860758.0,4.0,5.0,627.0,4461166.196744387,44770473.853958696,Small,B2C,6.0,72.80160644504686,22716448.41568022,0.0
Startup_F_875,Finance,7.0,30603896.0,2.0,4.0,747.0,13137154.644205345,4083668.093150749,Small,B2C,4.0,60.658585288243586,10034788.545035139,0.0
Startup_F_4477,Logistics,2.0,15010312.0,2.0,2.0,86.0,90232226.47292994,20231250.609365117,Large,B2C,3.0,65.717165864649,13996012.457530847,0.0
Startup_4802,Tech,0.0,9671322.0,2.0,12.0,312.0,82461059.53022641,1541849.38802164,Small,Hybrid,7.0,82.45637910761533,500000.0,1.0
Startup_F_3137,Health,6.0,9181494.0,4.0,1.0,760.0,10631610.459398475,10171695.438016241,Small,B2C,2.0,87.9317332128299,21691492.273581445,0.0
Startup_F_1371,Finance,1.0,30968674.0,2.0,8.0,563.0,3887226.08545157,10830685.66048937,Large,B2C,7.0,61.470832471260394,3044172.8581611663,0.0
Startup_F_4091,Finance,9.0,4501174.0,2.0,8.0,532.0,26444409.160434872,32937429.022305734,Small,B2B,4.0,62.49338209777012,17472312.608471293,0.0
Startup_F_2937,Tech,9.0,26614605.0,3.0,7.0,390.0,9846307.966056416,49985498.91888577,Medium,B2C,7.0,73.42860357283925,13971896.700587563,0.0
Startup_F_3077,Finance,1.0,36252022.0,2.0,2.0,382.0,24486173.513542477,23067882.327920295,Medium,B2B,4.0,39.31671132379216,17590652.815467957,0.0
Startup_3838,Healthcare,2.0,14037407.0,4.0,14.0,394.0,51515633.5528411,500000.0,Medium,B2C,4.0,44.88457029089402,500000.0,1.0
Startup_F_2450,Finance,8.0,19369426.0,4.0,9.0,116.0,38174087.19563093,42593713.39400688,Medium,B2B,5.0,54.02658152969772,12828388.475119758,0.0
Startup_2345,Finance,13.0,46388264.0,4.0,24.0,233.0,79568453.11033167,500000.0,Medium,B2C,5.0,72.33423299792913,500000.0,1.0
Startup_F_2623,Logistics,3.0,15403194.0,1.0,11.0,274.0,64566482.80029624,22244926.413527314,Medium,B2B,3.0,75.22217886434225,29915332.552048333,0.0
Startup_F_2274,Logistics,6.0,22849453.0,1.0,10.0,627.0,44079291.41798591,28905211.820415065,Medium,B2C,7.0,28.69831130007161,4277697.802226286,0.0
Startup_2234,AI/ML,5.0,3734992.0,2.0,23.0,424.0,87502373.7115121,500000.0,Small,B2C,1.0,93.19712347272107,500000.0,1.0
Startup_4881,Logistics,9.0,23893788.0,2.0,1.0,850.0,10325330.708428048,2301168.883781687,Large,B2B,6.0,30.0,594213.5918354471,1.0
Startup_3956,AI/ML,13.0,7242014.0,2.0,23.0,800.0,109260472.33129944,2200949.643029893,Large,B2B,7.0,30.0,500000.0,1.0
Startup_F_2661,Health,4.0,18658253.0,4.0,6.0,397.0,50785569.45455876,36697554.683419265,Medium,B2B,4.0,54.13531668968473,14380756.504748527,0.0
Startup_4978,Tech,14.0,25924085.0,1.0,28.0,19.0,42241224.94856731,500000.0,Large,B2C,4.0,30.0,500000.0,1.0
Startup_968,Finance,6.0,42919305.0,1.0,21.0,351.0,98461163.21589158,500000.0,Large,B2B,7.0,93.42727339365709,922015.6823147155,1.0
Startup_F_1458,Health,8.0,30822454.0,1.0,10.0,518.0,49230580.41773117,36713223.66843513,Small,B2C,3.0,63.85413807337918,21358836.255027488,0.0
Startup_F_4049,Logistics,5.0,34604583.0,3.0,2.0,516.0,56347730.65166079,45898585.28096515,Small,B2C,4.0,53.60881262255559,18952591.647260312,0.0
Startup_361,Logistics,9.0,17236689.0,1.0,22.0,315.0,25807173.998302158,500000.0,Medium,B2B,1.0,95.52582422874585,2073318.9862970042,1.0
